"HolderAddress","Balance","PendingBalanceUpdate"
"0x001df7200f7e462e446b64f87ad6c8a09e044110","775.07","No"
"0x011e3248c11fbcc4caa2cb10c99cbb57fbee969d","24","No"
"0x0167940dd408bd12b8c319e979109d0f1c07e1d2","5849.5936","No"
"0x0180a2b2f5678b36b7407c98745a8d7b57a846de","9.3901123","No"
"0x01cdc2ea5592c7b1f10543a4804980a25d05c37c","0.6","No"
"0x024eef535812dcafc4b99b80f148d48e30195213","150.56","No"
"0x0261db5aff8e5ec99fbc8fbba5d4b9f8ecd44ec7","248.278632","No"
"0x02e43d6e6c29db092427b8f097c3743b6be1151d","1.5077","No"
"0x03000a0ecb1898040c26cd418570cd480775f0da","10","No"
"0x0328bbb426a5fc5f05daca511c1915ab32be466b","0.9734","No"
"0x03bdf69b1322d623836afbd27679a1c0afa067e9","8E-07","No"
"0x04354b83b6826392e09e511a23c0348ea4b722cb","2.18747","No"
"0x045581666c2f2e3afc3a481858a506457248936d","3465.23878","No"
"0x04cfff344b7f33f98d3981f9f3f4afc60e666982","98.1751636","No"
"0x059d8ea643568eaf60f32cedb9a48e05aa82209b","35","No"
"0x05c2974d048d90ec5bfa124b6369396727b900fd","10","No"
"0x05cdebc2cdae91090d61884ada537072e1eca5e8","18","No"
"0x0681d8db095565fe8a346fa0277bffde9c0edbbf","316207.67454516","No"
"0x081aa827579eb2ea9fd28fa556b25dbeef12d60f","4.675","No"
"0x0853d8f6d7ba052edfdc467e781b4363535c4ddf","8.48768485","No"
"0x089615aeec6bbc604c87e4f8ab03693fafcec95e","199.4893","No"
"0x08fbc702ffc3b3a45b911127620c70662ae548b5","39.51","No"
"0x0933f554312c7bcb86df896c46a44ac2381383d1","2449.52495","No"
"0x09b2bacebe94671bd9bdd982242e89b6fd10e99c","5","No"
"0x0a2a34cdfbade6634d902d0d0a8dc7533d26f7e3","438","No"
"0x0b1ba5295130d3b2f8b6cc92a1d2fb0f2aa0ede4","250","No"
"0x0b9c4429d1596b1c26f3f0125a4802ace5dae570","3385","No"
"0x0c2a7abdcfab03e5d9821414c45c18560b6bea12","5","No"
"0x0c66335212377bfb47e0602f23cb8931be773be7","91.02144","No"
"0x0d10d324967843bcb6548c0f469b0c71646c4674","90895.675","No"
"0x0e293a9e57d22f6ec575b376e3e3bd8e642fd5fc","6.157176","No"
"0x0e3f0bb9516f01f2c34c25e0957518b8ac9414c5","1","No"
"0x0ea9239001e8ebe447d9dec97b3433e5efcec5a8","208.82031","No"
"0x0ec0bbf4dffa9ebc100bd2c931784302210cf7de","4.9","No"
"0x0efc9b0ac1ba373e68ffd0ca385819ee27e92fcc","44.3","No"
"0x0f9d32c3268c88d87639f28da45d4a3ed25ee2ea","61.78","No"
"0x0fbef6666852a3eef2dc287dad71565954ca9f1b","98.08333333","No"
"0x0fd2b3fd4e4b6868aa58b44f6c0c69cdd87a1285","4.5","No"
"0x1015c3755b3c45cc60c4321342c177723178a331","100","No"
"0x1032183a59cdd9964d3c4a4f2d9fb64698d9adf9","22.5","No"
"0x1062a747393198f70f71ec65a582423dba7e5ab3","34254.22665433","No"
"0x113ee5a01de1da2339e373051faa85da517430d1","0.49315733","No"
"0x115ebf0e4f44618f90c245599f005935f8db7ff5","640.44","No"
"0x11747ac36fadac5926f78a482115b08af104c0d1","62.932524","No"
"0x1206f15451b6776992fce9042931bb1b0c0a40fd","1","No"
"0x121667b6690f5040c672c3df912a5aaf8735ca23","0.07","No"
"0x12402e8cb73ca320576590af5947295d60e36844","9","No"
"0x130658bdcf42484da9473eac2f823072f02f3867","130.96134","No"
"0x13f3eaf4b6ca228b9527d22e8c3f0bc4937a6595","96.7","No"
"0x143a70e7307984b90920bf8878d8fe37f04f31f6","66.194","No"
"0x14b802407e24feffc77b75eaa45c1213e5c0e0d9","601.3","No"
"0x152cdb6b756c39be1b5a426a6d329b4110a430c2","23.69","No"
"0x16397f8d3c7ccd864d6f7af62a3b9e8faef57fa7","70.68","No"
"0x17c8e2040d326c3a833fca47e36d875007682513","1128.85127","No"
"0x18332922c17e48cc9e439006e672d223dc774dd8","30","No"
"0x1867ad264094a6e070fa3c252d6e0a8563e90e6b","99.7","No"
"0x187e3534f461d7c59a7d6899a983a5305b48f93f","1454571.01182683","No"
"0x190172aca67c42993a2e4179d1e97a1d7f651669","9.1","No"
"0x192f7bc11931bab519d152aba403d3121edf6b06","100","No"
"0x197552f8a0b1036d54b42c0b2e9201f9a040a62f","183","No"
